Snapshot_Date,EmployeeID,Division,Season_Label,Monthly_Stress_Score,Workload_Volume, Column E AND f CAN CALCUALATE USING LLMS
01/05/2025,EMP1003,Operations,Normal Operations,4.04,52,
01/06/2025,EMP1003,Operations,Normal Operations,3.48,52,
01/07/2025,EMP1003,Operations,Normal Operations,3.33,48,
01/08/2025,EMP1003,Operations,Normal Operations,2.09,46,
01/09/2025,EMP1003,Operations,Normal Operations,2.71,49,
01/10/2025,EMP1003,Operations,Normal Operations,3.21,51,
01/11/2025,EMP1003,Operations,11.11 Mega Sale,7.1,89,
01/12/2025,EMP1003,Operations,Year End Closing,3.81,48,
01/01/2025,EMP1004,HR,CNY / Year End,3.21,56,
01/02/2025,EMP1004,HR,CNY / Year End,4.43,45,
01/03/2025,EMP1004,HR,Ramadan / Raya,4.12,52,
01/04/2025,EMP1004,HR,Ramadan / Raya,4.74,45,
01/05/2025,EMP1004,HR,Normal Operations,2.67,45,
01/06/2025,EMP1004,HR,Normal Operations,3.08,54,
01/07/2025,EMP1004,HR,Normal Operations,3.52,45,
01/08/2025,EMP1004,HR,Normal Operations,3.48,54,
01/09/2025,EMP1004,HR,Normal Operations,3.35,59,
01/10/2025,EMP1004,HR,Normal Operations,2.93,56,
01/11/2025,EMP1004,HR,11.11 Mega Sale,3.67,56,
01/12/2025,EMP1004,HR,Year End Closing,4.22,57,
01/01/2025,EMP1005,Digital,CNY / Year End,3.43,46,
01/02/2025,EMP1005,Digital,CNY / Year End,4.14,54,
01/03/2025,EMP1005,Digital,Ramadan / Raya,3.44,47,
01/04/2025,EMP1005,Digital,Ramadan / Raya,3.07,45,
01/05/2025,EMP1005,Digital,Normal Operations,3.15,46,
01/06/2025,EMP1005,Digital,Normal Operations,3.66,45,
01/07/2025,EMP1005,Digital,Normal Operations,2.26,54,
01/08/2025,EMP1005,Digital,Normal Operations,2.9,50,
01/09/2025,EMP1005,Digital,Normal Operations,3.28,46,
01/10/2025,EMP1005,Digital,Normal Operations,3.41,57,
01/11/2025,EMP1005,Digital,11.11 Mega Sale,3.84,68,
01/12/2025,EMP1005,Digital,Year End Closing,3.82,56,
01/01/2025,EMP1006,Operations,CNY / Year End,4.14,49,
01/02/2025,EMP1006,Operations,CNY / Year End,3.53,49,
01/03/2025,EMP1006,Operations,Ramadan / Raya,3.69,58,
01/04/2025,EMP1006,Operations,Ramadan / Raya,3.21,58,
01/05/2025,EMP1006,Operations,Normal Operations,2.63,53,
01/06/2025,EMP1006,Operations,Normal Operations,3.27,50,
01/07/2025,EMP1006,Operations,Normal Operations,2.58,58,
01/08/2025,EMP1006,Operations,Normal Operations,3.35,55,
01/09/2025,EMP1006,Operations,Normal Operations,3.04,48,
01/10/2025,EMP1006,Operations,Normal Operations,2.9,51,
01/11/2025,EMP1006,Operations,11.11 Mega Sale,6.7,95,
01/12/2025,EMP1006,Operations,Year End Closing,3.68,48,
01/01/2025,EMP1007,Sales,CNY / Year End,3.19,54,
01/02/2025,EMP1007,Sales,CNY / Year End,4.14,55,
01/03/2025,EMP1007,Sales,Ramadan / Raya,3.63,50,
01/04/2025,EMP1007,Sales,Ramadan / Raya,3.49,57,
01/05/2025,EMP1007,Sales,Normal Operations,3.77,48,
01/06/2025,EMP1007,Sales,Normal Operations,3.78,58,
01/07/2025,EMP1007,Sales,Normal Operations,3.26,56,
01/08/2025,EMP1007,Sales,Normal Operations,3.15,54,
01/09/2025,EMP1007,Sales,Normal Operations,2.75,54,
01/10/2025,EMP1007,Sales,Normal Operations,3.43,57,
01/11/2025,EMP1007,Sales,11.11 Mega Sale,4.57,64,
01/12/2025,EMP1007,Sales,Year End Closing,5.85,47,
01/01/2025,EMP1008,Procurement,CNY / Year End,4.72,53,
01/02/2025,EMP1008,Procurement,CNY / Year End,4.86,54,
01/03/2025,EMP1008,Procurement,Ramadan / Raya,2.89,49,
01/04/2025,EMP1008,Procurement,Ramadan / Raya,4.38,52,
01/05/2025,EMP1008,Procurement,Normal Operations,2.43,50,
01/06/2025,EMP1008,Procurement,Normal Operations,2.34,48,
01/07/2025,EMP1008,Procurement,Normal Operations,3.35,55,
01/08/2025,EMP1008,Procurement,Normal Operations,3.37,55,
01/09/2025,EMP1008,Procurement,Normal Operations,3.64,47,
01/10/2025,EMP1008,Procurement,Normal Operations,2.26,48,
01/11/2025,EMP1008,Procurement,11.11 Mega Sale,3.45,57,
01/12/2025,EMP1008,Procurement,Year End Closing,4.44,48,
01/01/2025,EMP1009,Procurement,CNY / Year End,3.85,58,
01/02/2025,EMP1009,Procurement,CNY / Year End,5.03,47,
01/03/2025,EMP1009,Procurement,Ramadan / Raya,3.73,46,
01/04/2025,EMP1009,Procurement,Ramadan / Raya,3.36,46,
01/05/2025,EMP1009,Procurement,Normal Operations,3,53,
01/06/2025,EMP1009,Procurement,Normal Operations,3.81,50,
01/07/2025,EMP1009,Procurement,Normal Operations,2.67,58,
01/08/2025,EMP1009,Procurement,Normal Operations,2.4,54,
01/09/2025,EMP1009,Procurement,Normal Operations,3.03,45,
01/10/2025,EMP1009,Procurement,Normal Operations,3.02,57,
01/11/2025,EMP1009,Procurement,11.11 Mega Sale,3.08,61,
01/12/2025,EMP1009,Procurement,Year End Closing,3.46,46,
01/01/2025,EMP1010,Operations,CNY / Year End,3.21,46,
01/02/2025,EMP1010,Operations,CNY / Year End,3.32,55,
01/03/2025,EMP1010,Operations,Ramadan / Raya,3.83,59,
01/04/2025,EMP1010,Operations,Ramadan / Raya,2.98,55,
01/05/2025,EMP1010,Operations,Normal Operations,3,54,
01/06/2025,EMP1010,Operations,Normal Operations,2.58,53,
01/07/2025,EMP1010,Operations,Normal Operations,3.78,51,
01/08/2025,EMP1010,Operations,Normal Operations,3.09,59,
01/09/2025,EMP1010,Operations,Normal Operations,2.99,59,
01/10/2025,EMP1010,Operations,Normal Operations,2.61,53,
01/11/2025,EMP1010,Operations,11.11 Mega Sale,6.18,98,
01/12/2025,EMP1010,Operations,Year End Closing,4.67,49,
01/01/2025,EMP1011,Digital,CNY / Year End,3.45,57,
01/02/2025,EMP1011,Digital,CNY / Year End,3.06,57,
01/03/2025,EMP1011,Digital,Ramadan / Raya,2.91,48,
01/04/2025,EMP1011,Digital,Ramadan / Raya,3.9,53,
01/05/2025,EMP1011,Digital,Normal Operations,2.38,54,
01/06/2025,EMP1011,Digital,Normal Operations,3.2,48,
01/07/2025,EMP1011,Digital,Normal Operations,3.06,52,
01/08/2025,EMP1011,Digital,Normal Operations,2.94,50,
01/09/2025,EMP1011,Digital,Normal Operations,3.3,45,
01/10/2025,EMP1011,Digital,Normal Operations,3.11,53,
01/11/2025,EMP1011,Digital,11.11 Mega Sale,3.88,67,
01/12/2025,EMP1011,Digital,Year End Closing,3.63,54,
01/01/2025,EMP1012,Digital,CNY / Year End,4.49,48,
01/02/2025,EMP1012,Digital,CNY / Year End,3.69,47,
01/03/2025,EMP1012,Digital,Ramadan / Raya,2.94,56,
01/04/2025,EMP1012,Digital,Ramadan / Raya,3.18,53,
01/05/2025,EMP1012,Digital,Normal Operations,2.24,46,
01/06/2025,EMP1012,Digital,Normal Operations,1.81,51,
01/07/2025,EMP1012,Digital,Normal Operations,2.78,47,
01/08/2025,EMP1012,Digital,Normal Operations,2.29,49,
01/09/2025,EMP1012,Digital,Normal Operations,2.48,48,
01/10/2025,EMP1012,Digital,Normal Operations,3.06,51,
01/11/2025,EMP1012,Digital,11.11 Mega Sale,3.73,56,
01/12/2025,EMP1012,Digital,Year End Closing,3.53,49,
01/01/2025,EMP1013,HR,CNY / Year End,3.53,48,
01/02/2025,EMP1013,HR,CNY / Year End,3.14,56,
01/03/2025,EMP1013,HR,Ramadan / Raya,4.59,45,
01/04/2025,EMP1013,HR,Ramadan / Raya,3.87,45,
01/05/2025,EMP1013,HR,Normal Operations,2.67,50,
01/06/2025,EMP1013,HR,Normal Operations,2.98,51,
01/07/2025,EMP1013,HR,Normal Operations,3.28,47,
01/08/2025,EMP1013,HR,Normal Operations,2.24,57,
01/09/2025,EMP1013,HR,Normal Operations,3.15,55,
01/10/2025,EMP1013,HR,Normal Operations,2.96,45,
01/11/2025,EMP1013,HR,11.11 Mega Sale,3.65,68,
01/12/2025,EMP1013,HR,Year End Closing,3.65,51,
01/01/2025,EMP1014,Digital,CNY / Year End,4.07,45,
01/02/2025,EMP1014,Digital,CNY / Year End,3.34,46,
01/03/2025,EMP1014,Digital,Ramadan / Raya,3.24,55,
01/04/2025,EMP1014,Digital,Ramadan / Raya,3.69,48,
01/05/2025,EMP1014,Digital,Normal Operations,3.34,48,
01/06/2025,EMP1014,Digital,Normal Operations,3.13,49,
01/07/2025,EMP1014,Digital,Normal Operations,3.62,57,
01/08/2025,EMP1014,Digital,Normal Operations,2.18,49,
01/09/2025,EMP1014,Digital,Normal Operations,3.07,46,
01/10/2025,EMP1014,Digital,Normal Operations,3.26,46,
01/11/2025,EMP1014,Digital,11.11 Mega Sale,4.61,69,
01/12/2025,EMP1014,Digital,Year End Closing,4.2,45,
01/01/2025,EMP1015,Digital,CNY / Year End,3.61,54,
01/02/2025,EMP1015,Digital,CNY / Year End,3.64,45,
01/03/2025,EMP1015,Digital,Ramadan / Raya,2.79,53,
01/04/2025,EMP1015,Digital,Ramadan / Raya,3.26,50,
01/05/2025,EMP1015,Digital,Normal Operations,2.01,51,
01/06/2025,EMP1015,Digital,Normal Operations,3.42,46,
01/07/2025,EMP1015,Digital,Normal Operations,3.66,52,
01/08/2025,EMP1015,Digital,Normal Operations,3.93,53,
01/09/2025,EMP1015,Digital,Normal Operations,2.68,45,
01/10/2025,EMP1015,Digital,Normal Operations,2.79,49,
01/11/2025,EMP1015,Digital,11.11 Mega Sale,4.16,61,
01/12/2025,EMP1015,Digital,Year End Closing,3.96,55,
01/01/2025,EMP1016,HR,CNY / Year End,3.14,50,
01/02/2025,EMP1016,HR,CNY / Year End,2.97,51,
01/03/2025,EMP1016,HR,Ramadan / Raya,3.67,53,
01/04/2025,EMP1016,HR,Ramadan / Raya,4.28,58,
01/05/2025,EMP1016,HR,Normal Operations,3.34,57,
01/06/2025,EMP1016,HR,Normal Operations,3.56,57,
01/07/2025,EMP1016,HR,Normal Operations,3.16,48,
01/08/2025,EMP1016,HR,Normal Operations,3.29,50,
01/09/2025,EMP1016,HR,Normal Operations,3.68,53,
01/10/2025,EMP1016,HR,Normal Operations,2.7,49,
01/11/2025,EMP1016,HR,11.11 Mega Sale,4.49,66,
01/12/2025,EMP1016,HR,Year End Closing,3.88,53,
01/01/2025,EMP1017,Sales,CNY / Year End,3.33,55,
01/02/2025,EMP1017,Sales,CNY / Year End,4.98,46,
01/03/2025,EMP1017,Sales,Ramadan / Raya,4.14,55,
01/04/2025,EMP1017,Sales,Ramadan / Raya,3.21,45,
01/05/2025,EMP1017,Sales,Normal Operations,3.38,50,
01/06/2025,EMP1017,Sales,Normal Operations,3.21,57,
01/07/2025,EMP1017,Sales,Normal Operations,2.74,58,
01/08/2025,EMP1017,Sales,Normal Operations,2.54,53,
01/09/2025,EMP1017,Sales,Normal Operations,3.54,46,
01/10/2025,EMP1017,Sales,Normal Operations,4.02,48,
01/11/2025,EMP1017,Sales,11.11 Mega Sale,3.22,63,
01/12/2025,EMP1017,Sales,Year End Closing,5.56,48,
01/01/2025,EMP1018,Digital,CNY / Year End,3.61,45,
01/02/2025,EMP1018,Digital,CNY / Year End,3.61,55,
01/03/2025,EMP1018,Digital,Ramadan / Raya,3.18,52,
01/04/2025,EMP1018,Digital,Ramadan / Raya,3.04,49,
01/05/2025,EMP1018,Digital,Normal Operations,3.05,55,
01/06/2025,EMP1018,Digital,Normal Operations,2.56,54,
01/07/2025,EMP1018,Digital,Normal Operations,3.18,47,
01/08/2025,EMP1018,Digital,Normal Operations,3.1,45,
01/09/2025,EMP1018,Digital,Normal Operations,3.17,46,
01/10/2025,EMP1018,Digital,Normal Operations,2.62,58,
01/11/2025,EMP1018,Digital,11.11 Mega Sale,4.82,58,
01/12/2025,EMP1018,Digital,Year End Closing,4.2,58,
01/01/2025,EMP1019,Operations,CNY / Year End,3.57,47,
01/02/2025,EMP1019,Operations,CNY / Year End,3.95,55,
01/03/2025,EMP1019,Operations,Ramadan / Raya,4.25,53,
01/04/2025,EMP1019,Operations,Ramadan / Raya,2.87,48,
01/05/2025,EMP1019,Operations,Normal Operations,2.4,48,
01/06/2025,EMP1019,Operations,Normal Operations,4.08,59,
01/07/2025,EMP1019,Operations,Normal Operations,2.71,50,
01/08/2025,EMP1019,Operations,Normal Operations,3.46,50,
01/09/2025,EMP1019,Operations,Normal Operations,3.51,48,
01/10/2025,EMP1019,Operations,Normal Operations,2.74,46,
01/11/2025,EMP1019,Operations,11.11 Mega Sale,7.46,91,
01/12/2025,EMP1019,Operations,Year End Closing,4.24,50,
01/01/2025,EMP1020,Sales,CNY / Year End,3.89,46,
01/02/2025,EMP1020,Sales,CNY / Year End,4.23,54,
01/03/2025,EMP1020,Sales,Ramadan / Raya,3.43,50,
01/04/2025,EMP1020,Sales,Ramadan / Raya,3.43,47,
01/05/2025,EMP1020,Sales,Normal Operations,3.1,57,
01/06/2025,EMP1020,Sales,Normal Operations,2.39,46,
01/07/2025,EMP1020,Sales,Normal Operations,3.49,57,
01/08/2025,EMP1020,Sales,Normal Operations,3.29,50,
01/09/2025,EMP1020,Sales,Normal Operations,3.23,50,
01/10/2025,EMP1020,Sales,Normal Operations,2.86,47,
01/11/2025,EMP1020,Sales,11.11 Mega Sale,3.02,62,
01/12/2025,EMP1020,Sales,Year End Closing,5.35,54,
01/01/2025,EMP1021,Sales,CNY / Year End,4.19,46,
01/02/2025,EMP1021,Sales,CNY / Year End,2.47,52,
01/03/2025,EMP1021,Sales,Ramadan / Raya,3.74,49,
01/04/2025,EMP1021,Sales,Ramadan / Raya,3.48,57,
01/05/2025,EMP1021,Sales,Normal Operations,2.94,53,
01/06/2025,EMP1021,Sales,Normal Operations,2.66,48,
01/07/2025,EMP1021,Sales,Normal Operations,3.32,56,
01/08/2025,EMP1021,Sales,Normal Operations,2.69,47,
01/09/2025,EMP1021,Sales,Normal Operations,3.43,49,
01/10/2025,EMP1021,Sales,Normal Operations,2.84,49,
01/11/2025,EMP1021,Sales,11.11 Mega Sale,3.74,56,
01/12/2025,EMP1021,Sales,Year End Closing,4.81,46,
01/01/2025,EMP1022,Sales,CNY / Year End,3.95,59,
01/02/2025,EMP1022,Sales,CNY / Year End,4.07,46,
01/03/2025,EMP1022,Sales,Ramadan / Raya,3.63,46,
01/04/2025,EMP1022,Sales,Ramadan / Raya,3.06,45,
01/05/2025,EMP1022,Sales,Normal Operations,3.19,49,
01/06/2025,EMP1022,Sales,Normal Operations,3.41,59,
01/07/2025,EMP1022,Sales,Normal Operations,2.43,45,
01/08/2025,EMP1022,Sales,Normal Operations,3.3,58,
01/09/2025,EMP1022,Sales,Normal Operations,2.6,49,
01/10/2025,EMP1022,Sales,Normal Operations,2.87,52,
01/11/2025,EMP1022,Sales,11.11 Mega Sale,2.4,62,
01/12/2025,EMP1022,Sales,Year End Closing,4.64,50,
01/01/2025,EMP1023,Operations,CNY / Year End,3.53,54,
01/02/2025,EMP1023,Operations,CNY / Year End,3.97,47,
01/03/2025,EMP1023,Operations,Ramadan / Raya,3.07,56,
01/04/2025,EMP1023,Operations,Ramadan / Raya,3.52,47,
01/05/2025,EMP1023,Operations,Normal Operations,3.19,57,
01/06/2025,EMP1023,Operations,Normal Operations,2.91,52,
01/07/2025,EMP1023,Operations,Normal Operations,2.85,59,
01/08/2025,EMP1023,Operations,Normal Operations,3.3,50,
01/09/2025,EMP1023,Operations,Normal Operations,2.73,50,
01/10/2025,EMP1023,Operations,Normal Operations,2.56,51,
01/11/2025,EMP1023,Operations,11.11 Mega Sale,7.04,95,
01/12/2025,EMP1023,Operations,Year End Closing,3.96,54,
01/01/2025,EMP1024,Sales,CNY / Year End,3.84,54,
01/02/2025,EMP1024,Sales,CNY / Year End,3.9,57,
01/03/2025,EMP1024,Sales,Ramadan / Raya,3.5,52,
01/04/2025,EMP1024,Sales,Ramadan / Raya,3.78,46,
01/05/2025,EMP1024,Sales,Normal Operations,3.44,57,
01/06/2025,EMP1024,Sales,Normal Operations,3.09,53,
01/07/2025,EMP1024,Sales,Normal Operations,3.53,57,
01/08/2025,EMP1024,Sales,Normal Operations,3.6,57,
01/09/2025,EMP1024,Sales,Normal Operations,2.09,53,
01/10/2025,EMP1024,Sales,Normal Operations,3.4,46,
01/11/2025,EMP1024,Sales,11.11 Mega Sale,4,60,
01/12/2025,EMP1024,Sales,Year End Closing,5.62,51,
01/01/2025,EMP1025,Procurement,CNY / Year End,4.45,54,
01/02/2025,EMP1025,Procurement,CNY / Year End,4.56,46,
01/03/2025,EMP1025,Procurement,Ramadan / Raya,3.38,51,
01/04/2025,EMP1025,Procurement,Ramadan / Raya,3.57,54,
01/05/2025,EMP1025,Procurement,Normal Operations,3.49,53,
01/06/2025,EMP1025,Procurement,Normal Operations,2.4,57,
01/07/2025,EMP1025,Procurement,Normal Operations,2.6,51,
01/08/2025,EMP1025,Procurement,Normal Operations,2.91,55,
01/09/2025,EMP1025,Procurement,Normal Operations,3.24,51,
01/10/2025,EMP1025,Procurement,Normal Operations,3.15,59,
01/11/2025,EMP1025,Procurement,11.11 Mega Sale,3.33,66,
01/12/2025,EMP1025,Procurement,Year End Closing,3.56,48,
01/01/2025,EMP1026,Operations,CNY / Year End,3.82,47,
01/02/2025,EMP1026,Operations,CNY / Year End,4.06,47,
01/03/2025,EMP1026,Operations,Ramadan / Raya,2.97,57,
01/04/2025,EMP1026,Operations,Ramadan / Raya,3.87,45,
01/05/2025,EMP1026,Operations,Normal Operations,2.9,46,
01/06/2025,EMP1026,Operations,Normal Operations,4.15,57,
01/07/2025,EMP1026,Operations,Normal Operations,3.09,53,
01/08/2025,EMP1026,Operations,Normal Operations,2.57,56,
01/09/2025,EMP1026,Operations,Normal Operations,3.23,47,
01/10/2025,EMP1026,Operations,Normal Operations,3.33,52,
01/11/2025,EMP1026,Operations,11.11 Mega Sale,7.27,90,
01/12/2025,EMP1026,Operations,Year End Closing,3.61,46,
01/01/2025,EMP1027,Procurement,CNY / Year End,4.4,47,
01/02/2025,EMP1027,Procurement,CNY / Year End,4.23,45,
01/03/2025,EMP1027,Procurement,Ramadan / Raya,2.9,56,
01/04/2025,EMP1027,Procurement,Ramadan / Raya,3.98,49,
01/05/2025,EMP1027,Procurement,Normal Operations,3.5,46,
01/06/2025,EMP1027,Procurement,Normal Operations,2.64,57,
01/07/2025,EMP1027,Procurement,Normal Operations,3.06,55,
01/08/2025,EMP1027,Procurement,Normal Operations,2.58,52,
01/09/2025,EMP1027,Procurement,Normal Operations,3.33,58,
01/10/2025,EMP1027,Procurement,Normal Operations,3.1,45,
01/11/2025,EMP1027,Procurement,11.11 Mega Sale,2.97,62,
01/12/2025,EMP1027,Procurement,Year End Closing,3.74,53,
01/01/2025,EMP1028,HR,CNY / Year End,3.18,58,
01/02/2025,EMP1028,HR,CNY / Year End,3.55,50,
01/03/2025,EMP1028,HR,Ramadan / Raya,3.54,48,
01/04/2025,EMP1028,HR,Ramadan / Raya,3.86,52,
01/05/2025,EMP1028,HR,Normal Operations,2.12,56,
01/06/2025,EMP1028,HR,Normal Operations,2.93,51,
01/07/2025,EMP1028,HR,Normal Operations,2.62,56,
01/08/2025,EMP1028,HR,Normal Operations,2.92,56,
01/09/2025,EMP1028,HR,Normal Operations,2.32,57,
01/10/2025,EMP1028,HR,Normal Operations,2.66,50,
01/11/2025,EMP1028,HR,11.11 Mega Sale,4.07,56,
01/12/2025,EMP1028,HR,Year End Closing,3.57,55,
01/01/2025,EMP1029,Sales,CNY / Year End,3.28,52,
01/02/2025,EMP1029,Sales,CNY / Year End,3.22,56,
01/03/2025,EMP1029,Sales,Ramadan / Raya,2.6,57,
01/04/2025,EMP1029,Sales,Ramadan / Raya,3.89,48,
01/05/2025,EMP1029,Sales,Normal Operations,3.1,58,
01/06/2025,EMP1029,Sales,Normal Operations,2.73,54,
01/07/2025,EMP1029,Sales,Normal Operations,2.52,46,
01/08/2025,EMP1029,Sales,Normal Operations,2.86,47,
01/09/2025,EMP1029,Sales,Normal Operations,1.4,46,
01/10/2025,EMP1029,Sales,Normal Operations,3.12,54,
01/11/2025,EMP1029,Sales,11.11 Mega Sale,3.47,64,
01/12/2025,EMP1029,Sales,Year End Closing,4.76,58,
01/01/2025,EMP1030,Sales,CNY / Year End,3.28,57,
01/02/2025,EMP1030,Sales,CNY / Year End,2.57,52,
01/03/2025,EMP1030,Sales,Ramadan / Raya,3.39,47,
01/04/2025,EMP1030,Sales,Ramadan / Raya,3.4,49,
01/05/2025,EMP1030,Sales,Normal Operations,3.35,54,
01/06/2025,EMP1030,Sales,Normal Operations,3.67,48,
01/07/2025,EMP1030,Sales,Normal Operations,2.94,46,
01/08/2025,EMP1030,Sales,Normal Operations,3.53,45,
01/09/2025,EMP1030,Sales,Normal Operations,3.15,57,
01/10/2025,EMP1030,Sales,Normal Operations,2.84,58,
01/11/2025,EMP1030,Sales,11.11 Mega Sale,3,67,
01/12/2025,EMP1030,Sales,Year End Closing,5.54,52,
01/01/2025,EMP1031,Sales,CNY / Year End,3.45,46,
01/02/2025,EMP1031,Sales,CNY / Year End,3.24,56,
01/03/2025,EMP1031,Sales,Ramadan / Raya,3.34,57,
01/04/2025,EMP1031,Sales,Ramadan / Raya,3.53,59,
01/05/2025,EMP1031,Sales,Normal Operations,3.2,50,
01/06/2025,EMP1031,Sales,Normal Operations,2.82,46,
01/07/2025,EMP1031,Sales,Normal Operations,2.58,54,
01/08/2025,EMP1031,Sales,Normal Operations,3.93,58,
01/09/2025,EMP1031,Sales,Normal Operations,2.6,51,
01/10/2025,EMP1031,Sales,Normal Operations,2.79,54,
01/11/2025,EMP1031,Sales,11.11 Mega Sale,3.19,67,
01/12/2025,EMP1031,Sales,Year End Closing,4.57,49,
01/01/2025,EMP1032,HR,CNY / Year End,3.73,52,
01/02/2025,EMP1032,HR,CNY / Year End,3.88,48,
01/03/2025,EMP1032,HR,Ramadan / Raya,3.55,45,
01/04/2025,EMP1032,HR,Ramadan / Raya,4.03,55,
01/05/2025,EMP1032,HR,Normal Operations,2.05,54,
01/06/2025,EMP1032,HR,Normal Operations,2.2,49,
01/07/2025,EMP1032,HR,Normal Operations,3.45,58,
01/08/2025,EMP1032,HR,Normal Operations,3.01,56,
01/09/2025,EMP1032,HR,Normal Operations,2.86,59,
01/10/2025,EMP1032,HR,Normal Operations,3.82,57,
01/11/2025,EMP1032,HR,11.11 Mega Sale,4.02,62,
01/12/2025,EMP1032,HR,Year End Closing,3.04,57,
01/01/2025,EMP1033,Digital,CNY / Year End,3.58,55,
01/02/2025,EMP1033,Digital,CNY / Year End,4.16,55,
01/03/2025,EMP1033,Digital,Ramadan / Raya,2.44,51,
01/04/2025,EMP1033,Digital,Ramadan / Raya,4.24,52,
01/05/2025,EMP1033,Digital,Normal Operations,2.63,51,
01/06/2025,EMP1033,Digital,Normal Operations,3.34,53,
01/07/2025,EMP1033,Digital,Normal Operations,3.96,45,
01/08/2025,EMP1033,Digital,Normal Operations,3.45,58,
01/09/2025,EMP1033,Digital,Normal Operations,3.43,53,
01/10/2025,EMP1033,Digital,Normal Operations,3.33,54,
01/11/2025,EMP1033,Digital,11.11 Mega Sale,4.08,59,
01/12/2025,EMP1033,Digital,Year End Closing,3.35,46,
01/01/2025,EMP1034,Digital,CNY / Year End,3.9,53,
01/02/2025,EMP1034,Digital,CNY / Year End,3.53,52,
01/03/2025,EMP1034,Digital,Ramadan / Raya,3.95,50,
01/04/2025,EMP1034,Digital,Ramadan / Raya,3.34,49,
01/05/2025,EMP1034,Digital,Normal Operations,3.07,56,
01/06/2025,EMP1034,Digital,Normal Operations,2.68,58,
01/07/2025,EMP1034,Digital,Normal Operations,2.71,55,
01/08/2025,EMP1034,Digital,Normal Operations,3.45,47,
01/09/2025,EMP1034,Digital,Normal Operations,2.83,59,
01/10/2025,EMP1034,Digital,Normal Operations,3.32,58,
01/11/2025,EMP1034,Digital,11.11 Mega Sale,3.37,64,
01/12/2025,EMP1034,Digital,Year End Closing,4.04,52,
01/01/2025,EMP1035,Operations,CNY / Year End,3.87,47,
01/02/2025,EMP1035,Operations,CNY / Year End,4.21,54,
01/03/2025,EMP1035,Operations,Ramadan / Raya,3.48,55,
01/04/2025,EMP1035,Operations,Ramadan / Raya,3.05,48,
01/05/2025,EMP1035,Operations,Normal Operations,3.45,45,
01/06/2025,EMP1035,Operations,Normal Operations,2.36,57,
01/07/2025,EMP1035,Operations,Normal Operations,2.55,45,
01/08/2025,EMP1035,Operations,Normal Operations,3.98,45,
01/09/2025,EMP1035,Operations,Normal Operations,3.61,46,
01/10/2025,EMP1035,Operations,Normal Operations,3.23,49,
01/11/2025,EMP1035,Operations,11.11 Mega Sale,6.65,95,
01/12/2025,EMP1035,Operations,Year End Closing,4.79,50,
01/01/2025,EMP1036,HR,CNY / Year End,3.32,49,
01/02/2025,EMP1036,HR,CNY / Year End,4.24,49,
