checkin_id,employee_id,date,hours_logged
W169,MY043,2025-02-25,10.5
W170,MY043,2025-05-25,11.0
W171,MY043,2025-08-25,9.5
W172,MY043,2025-11-29,10.5
W173,MY044,2025-02-26,9.5
W174,MY044,2025-05-26,10.0
W175,MY044,2025-08-26,9.0
W176,MY044,2025-11-30,9.5
W177,MY045,2025-01-15,10.0
W178,MY045,2025-04-12,10.5
W179,MY045,2025-07-15,9.0
W180,MY045,2025-10-18,10.0
W181,MY046,2025-01-16,10.5
W182,MY046,2025-04-13,11.0
W183,MY046,2025-07-16,9.5
W184,MY046,2025-10-19,10.5
W185,MY047,2025-01-17,10.5
W186,MY047,2025-04-14,11.0
W187,MY047,2025-07-17,9.5
W188,MY047,2025-10-20,10.5
W189,MY048,2025-01-18,9.5
W190,MY048,2025-04-15,10.0
W191,MY048,2025-07-18,9.0
W192,MY048,2025-10-21,9.5
W193,MY049,2025-01-19,9.0
W194,MY049,2025-04-16,9.5
W195,MY049,2025-07-19,8.5
W196,MY049,2025-10-22,9.0
W197,MY050,2025-01-20,11.5
W198,MY050,2025-04-17,12.0
W199,MY050,2025-07-20,10.0
W200,MY050,2025-10-23,11.5
W201,MY051,2025-01-21,10.5
W202,MY051,2025-04-18,11.0
W203,MY051,2025-07-21,9.5
W204,MY051,2025-10-24,10.5
W205,MY052,2025-01-22,9.0
W206,MY052,2025-04-19,9.5
W207,MY052,2025-07-22,8.5
W208,MY052,2025-10-25,9.0
W209,MY053,2025-01-23,9.5
W210,MY053,2025-04-20,10.0
W211,MY053,2025-07-23,9.0
W212,MY053,2025-10-26,9.5
W213,MY054,2025-01-24,11.0
W214,MY054,2025-04-21,11.5
W215,MY054,2025-07-24,10.0
W216,MY054,2025-10-27,11.0
W217,MY055,2025-01-25,11.0
W218,MY055,2025-04-22,11.5
W219,MY055,2025-07-25,10.0
W220,MY055,2025-10-28,11.0
W221,MY056,2025-01-26,10.5
W222,MY056,2025-04-23,11.0
W223,MY056,2025-07-26,9.5
W224,MY056,2025-10-29,10.5
W225,MY057,2025-01-27,10.5
W226,MY057,2025-04-24,11.0
W227,MY057,2025-07-27,9.5
W228,MY057,2025-10-30,10.5
W229,MY058,2025-01-28,9.5
W230,MY058,2025-04-25,10.0
W231,MY058,2025-07-28,9.0
W232,MY058,2025-11-01,9.5
W233,MY059,2025-01-29,9.5
W234,MY059,2025-04-26,10.0
W235,MY059,2025-07-29,9.0
W236,MY059,2025-11-02,9.5
W237,MY060,2025-01-30,9.5
W238,MY060,2025-04-27,10.0
W239,MY060,2025-07-30,9.0
W240,MY060,2025-11-03,9.5
W241,MY061,2025-01-31,10.0
W242,MY061,2025-04-28,10.5
W243,MY061,2025-07-31,9.5
W244,MY061,2025-11-04,10.0
W245,MY062,2025-02-01,10.0
W246,MY062,2025-05-01,10.5
W247,MY062,2025-08-01,9.5
W248,MY062,2025-11-05,10.0
W249,MY063,2025-02-02,12.0
W250,MY063,2025-05-02,12.0
W251,MY063,2025-08-02,12.0
W252,MY063,2025-11-06,12.0
W253,MY064,2025-02-03,12.0
W254,MY064,2025-05-03,12.0
W255,MY064,2025-08-03,12.0
W256,MY064,2025-11-07,12.0
W257,MY065,2025-02-04,10.5
W258,MY065,2025-05-04,11.0
W259,MY065,2025-08-04,9.5
W260,MY065,2025-11-08,10.5
W261,MY066,2025-02-05,9.5
W262,MY066,2025-05-05,10.0
W263,MY066,2025-08-05,9.0
W264,MY066,2025-11-09,9.5
W265,MY067,2025-02-06,10.5
W266,MY067,2025-05-06,11.0
W267,MY067,2025-08-06,9.5
W268,MY067,2025-11-10,10.5
W269,MY068,2025-02-07,11.5
W270,MY068,2025-05-07,12.0
W271,MY068,2025-08-07,10.5
W272,MY068,2025-11-11,11.5
W273,MY069,2025-02-08,9.5
W274,MY069,2025-05-08,10.0
W275,MY069,2025-08-08,9.0
W276,MY069,2025-11-12,9.5
W277,MY070,2025-02-09,9.0
W278,MY070,2025-05-09,9.5
W279,MY070,2025-08-09,8.5
W280,MY070,2025-11-13,9.0
W281,MY071,2025-02-10,11.0
W282,MY071,2025-05-10,11.5
W283,MY071,2025-08-10,10.0
W284,MY071,2025-11-14,11.0
W285,MY072,2025-02-11,10.5
W286,MY072,2025-05-11,11.0
W287,MY072,2025-08-11,9.5
W288,MY072,2025-11-15,10.5
W289,MY073,2025-02-12,10.5
W290,MY073,2025-05-12,11.0
W291,MY073,2025-08-12,9.5
W292,MY073,2025-11-16,10.5
W293,MY074,2025-02-13,8.5
W294,MY074,2025-05-13,9.0
W295,MY074,2025-08-13,8.0
W296,MY074,2025-11-17,8.5
W297,MY075,2025-02-14,10.5
W298,MY075,2025-05-14,11.0
W299,MY075,2025-08-14,9.5
W300,MY075,2025-11-18,10.5
W301,MY076,2025-01-15,10.5
W302,MY076,2025-04-12,11.0
W303,MY076,2025-07-15,9.5
W304,MY076,2025-10-18,10.5
W305,MY077,2025-01-16,10.5
W306,MY077,2025-04-14,11.0
W307,MY077,2025-07-16,9.5
W308,MY077,2025-10-19,10.5
W309,MY078,2025-01-17,8.5
W310,MY078,2025-04-15,9.0
W311,MY078,2025-07-17,8.0
W312,MY078,2025-10-20,8.5
W313,MY079,2025-01-18,10.0
W314,MY079,2025-04-16,10.5
W315,MY079,2025-07-18,9.5
W316,MY079,2025-10-21,10.0
W317,MY080,2025-01-19,10.0
W318,MY080,2025-04-17,10.5
W319,MY080,2025-07-19,9.5
W320,MY080,2025-10-22,10.0
W321,MY081,2025-01-20,9.0
W322,MY081,2025-04-18,9.5
W323,MY081,2025-07-20,8.5
W324,MY081,2025-10-23,9.0
W325,MY082,2025-01-21,9.0
W326,MY082,2025-04-19,9.5
W327,MY082,2025-07-21,8.5
W328,MY082,2025-10-24,9.0
W329,MY083,2025-01-22,10.0
W330,MY083,2025-04-20,10.5
W331,MY083,2025-07-22,9.5
W332,MY083,2025-10-25,10.0
W333,MY084,2025-01-23,10.5
W334,MY084,2025-04-21,11.0
W335,MY084,2025-07-23,9.5
W336,MY084,2025-10-26,10.5
W337,MY085,2025-01-24,11.5
W338,MY085,2025-04-22,12.0
W339,MY085,2025-07-24,10.5
W340,MY085,2025-10-27,11.5
W341,MY086,2025-01-25,10.5
W342,MY086,2025-04-23,11.0
W343,MY086,2025-07-25,9.5
W344,MY086,2025-10-28,10.5
W345,MY087,2025-01-26,9.5
W346,MY087,2025-04-24,10.0
W347,MY087,2025-07-26,9.0
W348,MY087,2025-10-29,9.5
W349,MY088,2025-01-27,10.5
W350,MY088,2025-04-25,11.0
W351,MY088,2025-07-27,9.5
W352,MY088,2025-10-30,10.5
W353,MY089,2025-01-28,11.0
W354,MY089,2025-04-26,11.5
W355,MY089,2025-07-28,10.0
W356,MY089,2025-10-31,11.0
W357,MY090,2025-01-29,10.5
W358,MY090,2025-04-27,11.0
W359,MY090,2025-07-29,9.5
W360,MY090,2025-11-01,10.5
W361,MY091,2025-01-30,9.0
W362,MY091,2025-04-28,9.5
W363,MY091,2025-07-30,8.5
W364,MY091,2025-11-02,9.0
W365,MY092,2025-01-31,10.5
W366,MY092,2025-04-29,11.0
W367,MY092,2025-07-31,9.5
W368,MY092,2025-11-03,10.5
W369,MY093,2025-02-01,10.5
W370,MY093,2025-05-01,11.0
W371,MY093,2025-08-01,9.5
W372,MY093,2025-11-04,10.5
W373,MY094,2025-02-02,8.5
W374,MY094,2025-05-02,9.0
W375,MY094,2025-08-02,8.0
W376,MY094,2025-11-05,8.5
W377,MY095,2025-02-03,10.5
W378,MY095,2025-05-03,11.0
W379,MY095,2025-08-03,9.5
W380,MY095,2025-11-06,10.5
W381,MY096,2025-02-04,10.5
W382,MY096,2025-05-04,11.0
W383,MY096,2025-08-04,9.5
W384,MY096,2025-11-07,10.5
W385,MY097,2025-02-05,11.5
W386,MY097,2025-05-05,12.0
W387,MY097,2025-08-05,10.5
W388,MY097,2025-11-08,11.5
W389,MY098,2025-02-06,9.0
W390,MY098,2025-05-06,9.5
W391,MY098,2025-08-06,8.5
W392,MY098,2025-11-09,9.0
W393,MY099,2025-02-07,10.5
W394,MY099,2025-05-07,11.0
W395,MY099,2025-08-07,9.5
W396,MY099,2025-11-10,10.5
W397,MY100,2025-02-08,11.0
W398,MY100,2025-05-08,11.5
W399,MY100,2025-08-08,10.0
W400,MY100,2025-11-11,11.0
